Facies,Sample,Area,Comment,Mineral,Texture,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_mol
PAPN,BU19w,Ore2,BU19w-Rut2.2,Rutile,core,2.5470069608568657,2.1591154361645977,0.5280194966394147,88.10540536366209,0.23892517174660316,6.421527570930431,0.0,0.0,0.0,100.0
PAPN,BU19w,Ore2,BU19w-Rut2.4 ,Rutile,core,0.206257758410079,1.8012634469879774,0.5514179317235712,95.08579688375421,0.16447550392796967,2.1907884751961895,0.0,0.0,0.0,100.0
PAPN,BU19w,Ore2,BU19w-Rut2.5 ,Rutile,rim,2.3135867080299364,2.206212722072541,0.5027517814124252,88.73107568673274,0.17245577471067802,6.067448698077622,0.006468628964069335,0.0,0.0,100.00000000000003
PAPN,BU19w,Ore2,BU19w-Rut2.6 ,Rutile,core,1.5850939205139887,1.8907757168699857,0.5307112011697751,91.00470441500977,0.19404903076209493,4.794665715674392,0.0,0.0,0.0,100.00000000000001
PAPN,BU19w,Ore2,BU19w-Rut2.7 ,Rutile,core,0.7619407490528698,1.8058973544527064,0.6119501317711973,92.92100639815844,0.18083058232526655,3.7183747842395163,0.0,0.0,0.0,100.0
PAPN,BU19w,Ore2,BU19w-Rut2.8 ,Rutile,rim,2.3541135042606074,2.0385362044041737,0.5355201334186864,88.75447975938408,0.13793857533093556,6.177717251284273,0.0016945719172448955,0.0,0.0,100.0
PAPN,BU19w,Ore2b,BU19w-Rut2b.2 ,Rutile,core,0.28431553150384725,1.2056955033814427,0.7675110665629219,95.70994888348055,0.21035637379788574,1.8221726412733692,0.0,0.0,0.0,100.00000000000001
PAPN,BU19w,Ore2b,BU19w-Rut2b.4 ,Rutile,core,0.40303231530694533,1.8204234812729407,0.8808400372365516,93.31447972279379,0.2020254680167366,3.3791989753730345,0.0,0.0,0.0,100.0
PAPN,BU19w,Ore2b,BU19w-Rut2b.5 ,Rutile,core,0.35185489781896295,1.346284948226251,0.6261828452882798,94.92099464215869,0.1669336675777788,2.5877489989300484,0.0,0.0,0.0,100.00000000000001
PAPN,BU19w,Ore3,BU19w-Rut3.2 ,Rutile,rim,2.2908072920373512,3.2365300946779656,0.739018296838354,85.30990903692566,0.39731882440700156,7.743209882177387,0.2832065729362856,0.0,0.0,99.99999999999999
PAPN,BU19w,Ore3,BU19w-Rut3.4 ,Rutile,rim,2.3749803629289215,2.470400506903494,0.6225010616683575,86.70203218604922,0.4199959635878177,7.344184448862199,0.06590547000000944,0.0,0.0,100.00000000000001
PAPN,BU19w,Ore4,BU19w-Rut4.1 ,Rutile,rim,1.26504845692504,1.7126379824146938,0.3320243478391852,91.70826507628405,0.6021482625785851,4.333404812717473,0.046471061240974845,0.0,0.0,100.0
PAPN,BU19w,Ore4,BU19w-Rut4.2 ,Rutile,core,0.8454754216477662,0.9733136775744746,0.026274473202545678,95.01038893578065,0.4993728320383525,2.6345712487034816,0.01060341105271443,0.0,0.0,99.99999999999999
PAPN,BU19w,Ore4,BU19w-Rut4.3 ,Rutile,patchy,1.9725430099655334,2.5679034734662243,0.6688511140641376,86.5893808516203,2.2345714701345196,5.934498383228635,0.03225169752065177,0.0,0.0,100.0
PAPN,BU19w,Ore5,BU19w-Area7_ore.2 ,Rutile,core,1.321856557235602,2.670303956449213,0.8222509442855976,89.80018594296146,0.2527629468904641,5.087475836079264,0.04516381609841606,0.0,0.0,100.00000000000003
PAPN,BU19w,Ore5,BU19w-Area7_ore.3 ,Rutile,rim,1.415910503251541,3.177038822847089,0.8460280698900029,88.26753130941974,0.18648788680162662,6.103562008555758,0.0034413992342559947,0.0,0.0,100.00000000000001
