Facies,Sample,Area,Comment,Mineral,Texture,Ta,Nb,Sn,Ti,Al,Fe,Mn,Ca,Mg,Sum
PAPN,BU19w,Ore2b,BU19w-Rut2b.4 ,Rutile,core,0.0950673128945771,0.4294017182294851,0.10388632902334807,11.005515568454259,0.04765379263941494,0.39854293827550863,0.0,0.0,0.0,12.08006765951659
PAPN,BU19w,Ore2b,BU19w-Rut2b.5 ,Rutile,core,0.0833312022125916,0.31884604691259155,0.07415069340546973,11.240259333857356,0.039535567915188814,0.3064334707886075,0.0,0.0,0.0,12.062556315091806
PAPN,BU19w,Ore3,BU19w-Rut3.2 ,Rutile,rim,0.5262369767151577,0.743485415814359,0.08488246820611645,9.79856070204636,0.09127081866498267,0.8893727928646568,0.03252865730912423,0.0,0.0,12.166337831620757
PAPN,BU19w,Ore3,BU19w-Rut3.4 ,Rutile,rim,0.5492711528828651,0.5713393490276646,0.07198414798506259,10.025961881509627,0.09713413665514783,0.8492593711882573,0.007621110063316271,0.0,0.0,12.172571149311942
PAPN,BU19w,Ore4,BU19w-Rut4.1 ,Rutile,rim,0.2959821976220022,0.4007042979192771,0.03884171218876766,10.728448261720647,0.14088406264333372,0.506941324117942,0.00543639524503424,0.0,0.0,12.117238251457005
PAPN,BU19w,Ore4,BU19w-Rut4.2 ,Rutile,core,0.1996099914693872,0.2297915822307832,0.003101596591419165,11.215596834271642,0.11789793551768898,0.3110006104342348,0.0012516903126845173,0.0,0.0,12.07825024082784
PAPN,BU19w,Ore4,BU19w-Rut4.3 ,Rutile,patchy,0.45110506945457046,0.5872593240797598,0.0764804941490076,9.901155124567081,0.5110289170596323,0.6785865483843535,0.0036878547581924792,0.0,0.0,12.209303332452599
PAPN,BU19w,Ore5,BU19w-Area7_ore.2 ,Rutile,core,0.3063744806324837,0.6189120773428799,0.09528897240253607,10.40675903084073,0.0585843570944282,0.5895771210867035,0.005233941846712407,0.0,0.0,12.080729981246474
PAPN,BU19w,Ore5,BU19w-Area7_ore.3 ,Rutile,rim,0.32697127583294355,0.7336624983652372,0.09768515621826464,10.19165662680942,0.0430649974944672,0.7047371470442504,0.00039735516322930166,0.0,0.0,12.098175056927813
SAPN,BU04,Ore1,BU04-Ore1.2 ,CGM,patchy,0.466072004456189,7.472721628806024,0.008766956444033929,0.15355508038101517,0.14768141809084256,1.6478450172981216,1.9195034461721039,0.03950125258787744,0.0,11.855646804236208
SAPN,BU04,Ore1,BU04-Ore1.3 ,CGM,rim,2.0221678916274892,5.918416455450114,0.05425002737181139,0.246379517268292,0.00986101137714597,2.1055017958724367,1.4194710294429553,0.0075157006446790455,0.0,11.783563429054924
SAPN,BU04,Ore1,BU04-Ore1.4 ,CGM,rim,1.772519659118559,6.142570226696965,0.05335901627491244,0.2883855209044205,0.005594094855916645,1.7729264954169355,1.7418198264363112,0.005648746965404558,0.0,11.782823586669425
SAPN,BU04,Ore1,BU04-Ore1.5 ,CGM,core,1.287844280885449,6.602564082565353,0.048372498241445905,0.2902946047832139,0.0163179260703846,1.892583748560242,1.659463762552346,0.02012048510550806,0.0,11.81756138876394
SAPN,BU04,Ore1,BU04-Ore1.6 ,CGM,core,1.1358913912981972,6.667312423246313,0.049988491704410595,0.3624918198389054,0.013530686810949199,1.9876659465642799,1.6531806081271307,0.005887255644262048,0.0,11.875948623234448
SAPN,BU04,Ore1,BU04-Ore1.7 ,CGM,core,1.1894448262271045,6.641517082625528,0.05291551222832568,0.3741896937565569,0.0029403439578727106,1.996655861781891,1.5670618518868191,0.0002565862931359062,0.0,11.824981758757234
SAPN,BU04,Ore1,BU04-Ore1.8 ,CGM,patchy,1.264223136250647,6.691181676408019,0.04386884971843346,0.2263395624320251,0.0029330015375648483,1.8053609060791407,1.7605428989753007,0.0007678366916265276,0.0,11.795217868092756
